ABC Data
SL	IA	FZ	FX	SA	TSTC	FY	P
-0.1	4	-250	-795.697101876877	0	55	0	82.7
-0.095	4	-250	-766.147796308633	0	55	0	82.7
-0.09	4	-250	-734.182936961291	0	55	0	82.7
-0.085	4	-250	-699.94751530958	0	55	0	82.7
-0.08	4	-250	-663.676299288071	0	55	0	82.7
-0.075	4	-250	-625.690434535721	0	55	0	82.7
-0.07	4	-250	-586.384914463746	0	55	0	82.7
-0.065	4	-250	-546.20735271363	0	55	0	82.7
-0.06	4	-250	-505.630131594548	0	55	0	82.7
-0.055	4	-250	-465.119301525962	0	55	0	82.7
-0.05	4	-250	-425.104171324849	0	55	0	82.7
-0.045	4	-250	-385.951207110015	0	55	0	82.7
-0.04	4	-250	-347.944804183015	0	55	0	82.7
-0.035	4	-250	-311.276085293682	0	55	0	82.7
-0.03	4	-250	-276.03952923753	0	55	0	82.7
-0.025	4	-250	-242.236251959561	0	55	0	82.7
-0.02	4	-250	-209.782269121259	0	55	0	82.7
-0.015	4	-250	-178.520019718442	0	55	0	82.7
-0.01	4	-250	-148.231686196022	0	55	0	82.7
-0.005	4	-250	-118.653249994729	0	55	0	82.7
0	4	-250	-89.4893180336303	0	55	0	82.7
0.005	4	-250	-60.4094043805237	0	55	0	82.7
0.01	4	-250	-30.9291484620779	0	55	0	82.7
0.015	4	-250	-0.483808749277752	0	55	0	82.7
0.02	4	-250	31.4509196291252	0	55	0	82.7
0.025	4	-250	65.3314570023287	0	55	0	82.7
0.03	4	-250	101.51698229981	0	55	0	82.7
0.035	4	-250	140.238020607834	0	55	0	82.7
0.04	4	-250	181.565086359004	0	55	0	82.7
0.045	4	-250	225.381482075102	0	55	0	82.7
0.05	4	-250	271.366291804282	0	55	0	82.7
0.055	4	-250	318.994638733402	0	55	0	82.7
0.06	4	-250	367.561312814048	0	55	0	82.7
0.065	4	-250	416.230155477903	0	55	0	82.7
0.07	4	-250	464.105444095553	0	55	0	82.7
0.075	4	-250	510.314807242595	0	55	0	82.7
0.08	4	-250	554.088779498215	0	55	0	82.7
0.085	4	-250	594.82229136993	0	55	0	82.7
0.09	4	-250	632.108404935105	0	55	0	82.7
0.095	4	-250	665.742278649424	0	55	0	82.7
0.1	4	-250	695.70044132027	0	55	0	82.7
0.105	4	-250	722.104557643777	0	55	0	82.7
0.11	4	-250	745.179405285464	0	55	0	82.7
0.115	4	-250	765.212746260237	0	55	0	82.7
0.12	4	-250	782.521715085316	0	55	0	82.7
0.125	4	-250	797.427512958819	0	55	0	82.7
0.13	4	-250	810.238205911461	0	55	0	82.7
0.135	4	-250	821.238351690931	0	55	0	82.7
0.14	4	-250	830.683816513603	0	55	0	82.7
0.145	4	-250	838.800211390829	0	55	0	82.7
0.15	4	-250	845.783648037244	0	55	0	82.7
0.155	4	-250	851.802836443597	0	55	0	82.7
0.16	4	-250	857.001841078367	0	55	0	82.7
0.165	4	-250	861.50304950225	0	55	0	82.7
0.17	4	-250	865.410082014829	0	55	0	82.7
0.175	4	-250	868.810492121165	0	55	0	82.7
0.18	4	-250	871.778187129965	0	55	0	82.7
0.185	4	-250	874.375547619597	0	55	0	82.7
0.19	4	-250	876.655253299928	0	55	0	82.7
0.195	4	-250	878.661838064441	0	55	0	82.7
0.2	4	-250	880.433003801316	0	55	0	82.7
0.205	4	-250	882.000724225642	0	55	0	82.7
0.21	4	-250	883.39216883616	0	55	0	82.7
0.215	4	-250	884.630474495155	0	55	0	82.7
0.22	4	-250	885.735388933976	0	55	0	82.7
0.225	4	-250	886.723807194792	0	55	0	82.7
0.23	4	-250	887.610218900319	0	55	0	82.7
0.235	4	-250	888.407081426617	0	55	0	82.7
0.24	4	-250	889.125131586552	0	55	0	82.7
0.245	4	-250	889.773646313239	0	55	0	82.7
0.25	4	-250	890.360661039787	0	55	0	82.7
-0.25	0	-750	-3105.67559040998	0	55	0	82.7
-0.245	0	-750	-3104.33157835571	0	55	0	82.7
-0.24	0	-750	-3102.87698504674	0	55	0	82.7
-0.235	0	-750	-3101.29993277295	0	55	0	82.7
-0.23	0	-750	-3099.58697789514	0	55	0	82.7
-0.225	0	-750	-3097.72286744431	0	55	0	82.7
-0.22	0	-750	-3095.6902524262	0	55	0	82.7
-0.215	0	-750	-3093.46934923602	0	55	0	82.7
-0.21	0	-750	-3091.03753872891	0	55	0	82.7
-0.205	0	-750	-3088.36889020737	0	55	0	82.7
-0.2	0	-750	-3085.43359477691	0	55	0	82.7
-0.195	0	-750	-3082.19728906724	0	55	0	82.7
-0.19	0	-750	-3078.6202460714	0	55	0	82.7
-0.185	0	-750	-3074.65640465055	0	55	0	82.7
-0.18	0	-750	-3070.25220288748	0	55	0	82.7
-0.175	0	-750	-3065.34517272775	0	55	0	82.7
-0.17	0	-750	-3059.86224399155	0	55	0	82.7
-0.165	0	-750	-3053.71769465484	0	55	0	82.7
-0.16	0	-750	-3046.81067113358	0	55	0	82.7
-0.155	0	-750	-3039.02218716275	0	55	0	82.7
-0.15	0	-750	-3030.21149305725	0	55	0	82.7
-0.145	0	-750	-3020.21168956538	0	55	0	82.7
-0.14	0	-750	-3008.8244440679	0	55	0	82.7
-0.135	0	-750	-2995.8136551179	0	55	0	82.7
-0.13	0	-750	-2980.89791057424	0	55	0	82.7
-0.125	0	-750	-2963.74160548619	0	55	0	82.7
-0.12	0	-750	-2943.944645613	0	55	0	82.7
-0.115	0	-750	-2921.03078767744	0	55	0	82.7
-0.11	0	-750	-2894.43489771877	0	55	0	82.7
-0.105	0	-750	-2863.48979955151	0	55	0	82.7
-0.1	0	-750	-2827.4140071843	0	55	0	82.7
-0.095	0	-750	-2785.30256567007	0	55	0	82.7
-0.09	0	-750	-2736.12452134422	0	55	0	82.7
-0.085	0	-750	-2678.73218082468	0	55	0	82.7
-0.08	0	-750	-2611.88908306613	0	55	0	82.7
-0.075	0	-750	-2534.32492984822	0	55	0	82.7
-0.07	0	-750	-2444.82550143676	0	55	0	82.7
-0.065	0	-750	-2342.36217709586	0	55	0	82.7
-0.06	0	-750	-2226.25729226233	0	55	0	82.7
-0.055	0	-750	-2096.36743909758	0	55	0	82.7
-0.05	0	-750	-1953.2491532752	0	55	0	82.7
-0.045	0	-750	-1798.25697751153	0	55	0	82.7
-0.04	0	-750	-1633.52295197773	0	55	0	82.7
-0.035	0	-750	-1461.78752136061	0	55	0	82.7
-0.03	0	-750	-1286.0930167569	0	55	0	82.7
-0.025	0	-750	-1109.39684157035	0	55	0	82.7
-0.02	0	-750	-934.190080974607	0	55	0	82.7
-0.015	0	-750	-762.204277937859	0	55	0	82.7
-0.01	0	-750	-594.258356312047	0	55	0	82.7
-0.005	0	-750	-430.256909397333	0	55	0	82.7
0	0	-750	-269.461317406915	0	55	0	82.7
0.005	0	-750	-109.999091451405	0	55	0	82.7
0.01	0	-750	49.8455905558928	0	55	0	82.7
0.015	0	-750	213.657538944767	0	55	0	82.7
0.02	0	-750	384.576247383484	0	55	0	82.7
0.025	0	-750	564.618851712934	0	55	0	82.7
0.03	0	-750	754.213000900825	0	55	0	82.7
0.035	0	-750	951.892460535232	0	55	0	82.7
0.04	0	-750	1154.28333976848	0	55	0	82.7
0.045	0	-750	1356.48266093213	0	55	0	82.7
0.05	0	-750	1552.81850409851	0	55	0	82.7
0.055	0	-750	1737.81686823274	0	55	0	82.7
0.06	0	-750	1907.08640307599	0	55	0	82.7
0.065	0	-750	2057.86064229033	0	55	0	82.7
0.07	0	-750	2189.09747780089	0	55	0	82.7
0.075	0	-750	2301.21729333869	0	55	0	82.7
0.08	0	-750	2395.65834475086	0	55	0	82.7
0.085	0	-750	2474.41892972225	0	55	0	82.7
0.09	0	-750	2539.68837324118	0	55	0	82.7
0.095	0	-750	2593.59900753254	0	55	0	82.7
0.1	0	-750	2638.08718197195	0	55	0	82.7
0.105	0	-750	2674.83410197142	0	55	0	82.7
0.11	0	-750	2705.25693259047	0	55	0	82.7
0.115	0	-750	2730.52723370477	0	55	0	82.7
0.12	0	-750	2751.6014680992	0	55	0	82.7
0.125	0	-750	2769.25455992185	0	55	0	82.7
0.13	0	-750	2784.11177046721	0	55	0	82.7
0.135	0	-750	2796.67680242395	0	55	0	82.7
0.14	0	-750	2807.35553055024	0	55	0	82.7
0.145	0	-750	2816.47551277695	0	55	0	82.7
0.15	0	-750	2824.30176572138	0	55	0	82.7
0.155	0	-750	2831.04938783856	0	55	0	82.7
0.16	0	-750	2836.89359824827	0	55	0	82.7
0.165	0	-750	2841.97769484004	0	55	0	82.7
0.17	0	-750	2846.41935591487	0	55	0	82.7
0.175	0	-750	2850.31563206756	0	55	0	82.7
0.18	0	-750	2853.74690632166	0	55	0	82.7
0.185	0	-750	2856.7800428137	0	55	0	82.7
0.19	0	-750	2859.47089732063	0	55	0	82.7
0.195	0	-750	2861.86632538336	0	55	0	82.7
0.2	0	-750	2864.00579416018	0	55	0	82.7
0.205	0	-750	2865.92268095311	0	55	0	82.7
0.21	0	-750	2867.64532327308	0	55	0	82.7
0.215	0	-750	2869.1978712518	0	55	0	82.7
0.22	0	-750	2870.60098228271	0	55	0	82.7
0.225	0	-750	2871.87238927929	0	55	0	82.7
0.23	0	-750	2873.02736732619	0	55	0	82.7
0.235	0	-750	2874.07911834134	0	55	0	82.7
0.24	0	-750	2875.03908933476	0	55	0	82.7
0.245	0	-750	2875.91723668903	0	55	0	82.7
0.25	0	-750	2876.72224640112	0	55	0	82.7
-0.25	4	-750	-2883.09921546136	0	55	0	82.7
-0.245	4	-750	-2882.11386925161	0	55	0	82.7
-0.24	4	-750	-2881.04813029503	0	55	0	82.7
-0.235	4	-750	-2879.89338642534	0	55	0	82.7
-0.23	4	-750	-2878.6398866409	0	55	0	82.7
-0.225	4	-750	-2877.27656246072	0	55	0	82.7
-0.22	4	-750	-2875.79081697908	0	55	0	82.7
-0.215	4	-750	-2874.16827503927	0	55	0	82.7
-0.21	4	-750	-2872.392486468	0	55	0	82.7
-0.205	4	-750	-2870.44457247356	0	55	0	82.7
-0.2	4	-750	-2868.30280302092	0	55	0	82.7
-0.195	4	-750	-2865.94209014056	0	55	0	82.7
-0.19	4	-750	-2863.33337855808	0	55	0	82.7
-0.185	4	-750	-2860.44291056917	0	55	0	82.7
-0.18	4	-750	-2857.23133650143	0	55	0	82.7
-0.175	4	-750	-2853.65263512778	0	55	0	82.7
-0.17	4	-750	-2849.65279968918	0	55	0	82.7
-0.165	4	-750	-2845.16823435783	0	55	0	82.7
-0.16	4	-750	-2840.12379258013	0	55	0	82.7
-0.155	4	-750	-2834.43037231469	0	55	0	82.7
-0.15	4	-750	-2827.98196329255	0	55	0	82.7
-0.145	4	-750	-2820.65201780697	0	55	0	82.7
-0.14	4	-750	-2812.28898932171	0	55	0	82.7
-0.135	4	-750	-2802.71085332634	0	55	0	82.7
-0.13	4	-750	-2791.69839489042	0	55	0	82.7
-0.125	4	-750	-2778.98702260114	0	55	0	82.7
-0.12	4	-750	-2764.25685916581	0	55	0	82.7
-0.115	4	-750	-2747.1208830631	0	55	0	82.7
-0.11	4	-750	-2727.11098408411	0	55	0	82.7
-0.105	4	-750	-2703.66199849072	0	55	0	82.7
-0.1	4	-750	-2676.09418397861	0	55	0	82.7
-0.095	4	-750	-2643.5952916808	0	55	0	82.7
-0.09	4	-750	-2605.20453593537	0	55	0	82.7
-0.085	4	-750	-2559.80250521098	0	55	0	82.7
-0.08	4	-750	-2506.11348596222	0	55	0	82.7
-0.075	4	-750	-2442.72963723581	0	55	0	82.7
-0.07	4	-750	-2368.16927487131	0	55	0	82.7
-0.065	4	-750	-2280.98257914655	0	55	0	82.7
-0.06	4	-750	-2179.9144929995	0	55	0	82.7
-0.055	4	-750	-2064.12282738395	0	55	0	82.7
-0.05	4	-750	-1933.42733304204	0	55	0	82.7
-0.045	4	-750	-1788.53575462095	0	55	0	82.7
-0.04	4	-750	-1631.16794519707	0	55	0	82.7
-0.035	4	-750	-1463.9989686208	0	55	0	82.7
-0.03	4	-750	-1290.38231999577	0	55	0	82.7
-0.025	4	-750	-1113.88832776842	0	55	0	82.7
-0.02	4	-750	-937.766130765833	0	55	0	82.7
-0.015	4	-750	-764.468747255402	0	55	0	82.7
-0.01	4	-750	-595.353343251047	0	55	0	82.7
-0.005	4	-750	-430.603980785526	0	55	0	82.7
0	4	-750	-269.527158428572	0	55	0	82.7
0.005	4	-750	-109.99906407449	0	55	0	82.7
0.01	4	-750	49.9762385808251	0	55	0	82.7
0.015	4	-750	214.566014861776	0	55	0	82.7
0.02	4	-750	387.299192457398	0	55	0	82.7
0.025	4	-750	570.175824654556	0	55	0	82.7
0.03	4	-750	763.065502538437	0	55	0	82.7
0.035	4	-750	963.394522742265	0	55	0	82.7
0.04	4	-750	1166.32204477892	0	55	0	82.7
0.045	4	-750	1365.50981119672	0	55	0	82.7
0.05	4	-750	1554.34850735326	0	55	0	82.7
0.055	4	-750	1727.24815934528	0	55	0	82.7
0.06	4	-750	1880.53948723824	0	55	0	82.7
0.065	4	-750	2012.74077771393	0	55	0	82.7
0.07	4	-750	2124.26001322711	0	55	0	82.7
0.075	4	-750	2216.79994741834	0	55	0	82.7
0.08	4	-750	2292.73729613412	0	55	0	82.7
0.085	4	-750	2354.63606192093	0	55	0	82.7
0.09	4	-750	2404.93840077524	0	55	0	82.7
0.095	4	-750	2445.8073975449	0	55	0	82.7
0.1	4	-750	2479.0738080314	0	55	0	82.7
0.105	4	-750	2506.24279562408	0	55	0	82.7
0.11	4	-750	2528.52937641662	0	55	0	82.7
0.115	4	-750	2546.90356216724	0	55	0	82.7
0.12	4	-750	2562.13510795786	0	55	0	82.7
0.125	4	-750	2574.83332567133	0	55	0	82.7
0.13	4	-750	2585.48051382352	0	55	0	82.7
0.135	4	-750	2594.45909082951	0	55	0	82.7
0.14	4	-750	2602.07317077931	0	55	0	82.7
0.145	4	-750	2608.56551087486	0	55	0	82.7
0.15	4	-750	2614.13073158712	0	55	0	82.7
0.155	4	-750	2618.92559509906	0	55	0	82.7
0.16	4	-750	2623.07698991082	0	55	0	82.7
0.165	4	-750	2626.68813906852	0	55	0	82.7
0.17	4	-750	2629.84343742416	0	55	0	82.7
0.175	4	-750	2632.61223188356	0	55	0	82.7
0.18	4	-750	2635.05178616246	0	55	0	82.7
0.185	4	-750	2637.20961522308	0	55	0	82.7
0.19	4	-750	2639.12533120628	0	55	0	82.7
0.195	4	-750	2640.83210952515	0	55	0	82.7
0.2	4	-750	2642.35785852156	0	55	0	82.7
0.205	4	-750	2643.72615685509	0	55	0	82.7
0.21	4	-750	2644.95700814605	0	55	0	82.7
0.215	4	-750	2646.0674512226	0	55	0	82.7
0.22	4	-750	2647.07205578173	0	55	0	82.7
0.225	4	-750	2647.98332672592	0	55	0	82.7
0.23	4	-750	2648.81203540201	0	55	0	82.7
0.235	4	-750	2649.56749208167	0	55	0	82.7
0.24	4	-750	2650.25777101152	0	55	0	82.7
0.245	4	-750	2650.88989701952	0	55	0	82.7
0.25	4	-750	2651.47000083533	0	55	0	82.7
-0.25	0	-1500	-5346.63759589344	0	55	0	82.7
-0.245	0	-1500	-5344.76722468799	0	55	0	82.7
-0.24	0	-1500	-5342.7841185002	0	55	0	82.7
-0.235	0	-1500	-5340.67908575824	0	55	0	82.7
-0.23	0	-1500	-5338.44198455064	0	55	0	82.7
-0.225	0	-1500	-5336.06160301901	0	55	0	82.7
-0.22	0	-1500	-5333.52552193834	0	55	0	82.7
-0.215	0	-1500	-5330.81995641117	0	55	0	82.7
-0.21	0	-1500	-5327.92957299659	0	55	0	82.7
-0.205	0	-1500	-5324.83727785631	0	55	0	82.7
-0.2	0	-1500	-5321.52397059439	0	55	0	82.7
-0.195	0	-1500	-5317.96825735172	0	55	0	82.7
-0.19	0	-1500	-5314.14611533913	0	55	0	82.7
-0.185	0	-1500	-5310.03049928347	0	55	0	82.7
-0.18	0	-1500	-5305.59087813088	0	55	0	82.7
-0.175	0	-1500	-5300.79268768687	0	55	0	82.7
-0.17	0	-1500	-5295.59668152174	0	55	0	82.7
-0.165	0	-1500	-5289.95815823973	0	55	0	82.7
-0.16	0	-1500	-5283.82603784148	0	55	0	82.7
-0.155	0	-1500	-5277.14175306538	0	55	0	82.7
-0.15	0	-1500	-5269.83791282248	0	55	0	82.7
-0.145	0	-1500	-5261.83668354424	0	55	0	82.7
-0.14	0	-1500	-5253.0478196394	0	55	0	82.7
-0.135	0	-1500	-5243.36625522535	0	55	0	82.7
-0.13	0	-1500	-5232.66914440246	0	55	0	82.7
-0.125	0	-1500	-5220.81220459566	0	55	0	82.7
-0.12	0	-1500	-5207.62517419993	0	55	0	82.7
-0.115	0	-1500	-5192.90613825318	0	55	0	82.7
-0.11	0	-1500	-5176.41439908484	0	55	0	82.7
-0.105	0	-1500	-5157.86146596556	0	55	0	82.7
-0.1	0	-1500	-5136.89959932051	0	55	0	82.7
-0.095	0	-1500	-5113.10715834021	0	55	0	82.7
-0.09	0	-1500	-5085.96974879807	0	55	0	82.7
-0.085	0	-1500	-5054.85582828003	0	55	0	82.7
-0.08	0	-1500	-5018.98497085269	0	55	0	82.7
-0.075	0	-1500	-4977.38638991648	0	55	0	82.7
-0.07	0	-1500	-4928.8445350287	0	55	0	82.7
-0.065	0	-1500	-4871.82760072037	0	55	0	82.7
-0.06	0	-1500	-4804.39365182183	0	55	0	82.7
-0.055	0	-1500	-4724.06795823695	0	55	0	82.7
-0.05	0	-1500	-4627.68453755397	0	55	0	82.7
-0.045	0	-1500	-4511.18599720097	0	55	0	82.7
-0.04	0	-1500	-4369.38106573518	0	55	0	82.7
-0.035	0	-1500	-4195.67368645794	0	55	0	82.7
-0.03	0	-1500	-3981.81012568413	0	55	0	82.7
-0.025	0	-1500	-3717.754696059	0	55	0	82.7
-0.02	0	-1500	-3391.91393666599	0	55	0	82.7
-0.015	0	-1500	-2992.07671345427	0	55	0	82.7
-0.01	0	-1500	-2507.54558369984	0	55	0	82.7
-0.005	0	-1500	-1932.78131234921	0	55	0	82.7
0	0	-1500	-1272.73446223092	0	55	0	82.7
0.005	0	-1500	-543.914938294655	0	55	0	82.7
0.01	0	-1500	220.041743521456	0	55	0	82.7
0.015	0	-1500	978.912548105584	0	55	0	82.7
0.02	0	-1500	1694.27191483687	0	55	0	82.7
0.025	0	-1500	2337.3336981288	0	55	0	82.7
0.03	0	-1500	2893.07714818588	0	55	0	82.7
0.035	0	-1500	3359.30813496865	0	55	0	82.7
0.04	0	-1500	3742.67609604952	0	55	0	82.7
0.045	0	-1500	4054.25126429209	0	55	0	82.7
0.05	0	-1500	4306.2040015834	0	55	0	82.7
0.055	0	-1500	4509.90147789084	0	55	0	82.7
0.06	0	-1500	4675.09734046501	0	55	0	82.7
0.065	0	-1500	4809.77036011893	0	55	0	82.7
0.07	0	-1500	4920.27378629314	0	55	0	82.7
0.075	0	-1500	5011.59456242899	0	55	0	82.7
0.08	0	-1500	5087.62231996128	0	55	0	82.7
0.085	0	-1500	5151.3869653314	0	55	0	82.7
0.09	0	-1500	5205.2534032329	0	55	0	82.7
0.095	0	-1500	5251.07499526402	0	55	0	82.7
0.1	0	-1500	5290.31198071632	0	55	0	82.7
0.105	0	-1500	5324.12188753411	0	55	0	82.7
0.11	0	-1500	5353.42825491719	0	55	0	82.7
0.115	0	-1500	5378.97284675287	0	55	0	82.7
0.12	0	-1500	5401.35540479473	0	55	0	82.7
0.125	0	-1500	5421.06402806016	0	55	0	82.7
0.13	0	-1500	5438.49849974891	0	55	0	82.7
0.135	0	-1500	5453.98829613828	0	55	0	82.7
0.14	0	-1500	5467.80657057898	0	55	0	82.7
0.145	0	-1500	5480.18107725928	0	55	0	82.7
0.15	0	-1500	5491.30275613591	0	55	0	82.7
0.155	0	-1500	5501.33252048397	0	55	0	82.7
0.16	0	-1500	5510.40665527266	0	55	0	82.7
0.165	0	-1500	5518.64113565081	0	55	0	82.7
0.17	0	-1500	5526.13510111657	0	55	0	82.7
0.175	0	-1500	5532.97366578398	0	55	0	82.7
0.18	0	-1500	5539.23020367959	0	55	0	82.7
0.185	0	-1500	5544.96821665277	0	55	0	82.7
0.19	0	-1500	5550.24286866561	0	55	0	82.7
0.195	0	-1500	5555.10225203596	0	55	0	82.7
0.2	0	-1500	5559.58843723879	0	55	0	82.7
0.205	0	-1500	5563.73834708776	0	55	0	82.7
0.21	0	-1500	5567.58448775198	0	55	0	82.7
0.215	0	-1500	5571.15556253708	0	55	0	82.7
0.22	0	-1500	5574.47698924475	0	55	0	82.7
